# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cpu-clock'
# Event count (approx.): 5728642500
#
# Overhead  Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     IPC   [IPC Coverage]
# ........  ....................  .........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.26%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<(), <pin::parallel::VacuumStore as pin_core::mutable::PageStore>::interrupt::{closure#0}>::{closure#0}>                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.26%  pin.so                [.] pin_core::memory::reserve::<pin_core::analysis::TokenRange>                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.26%  postgres              [.] StartReadBuffer                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.26%  postgres              [.] XLogInsertRecord                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.26%  postgres              [.] hash_bytes                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.26%  postgres              [.] memcpy@plt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.18%  [kernel.kallsyms]     [k] copy_folio_from_iter_atomic                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.18%  [kernel.kallsyms]     [k] generic_file_llseek_size                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.18%  ld-linux-x86-64.so.2  [.] __tls_get_addr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.18%  libc.so.6             [.] unlink_chunk.isra.0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.18%  pin.so                [.] <pin::storage_impl::PgStore as pin_core::mutable::PageStore>::commit                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.18%  pin.so                [.] <pin_core::mutable::page::Page>::term                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.18%  pin.so                [.] <pin_core::mutable::page::Terms as core::iter::traits::iterator::Iterator>::next                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.18%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<u32, <pin::storage_impl::PgStore as pin_core::mutable::PageStore>::blocks::{closure#0}>::{closure#0}>                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.18%  pin.so                [.] pin_storage_commit                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.18%  postgres              [.] FileSize                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.18%  postgres              [.] ResourceOwnerEnlarge                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.18%  postgres              [.] mdnblocks                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.18%  postgres              [.] pg_comp_crc32c_avx512                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.18%  postgres              [.] 0x000000000022800a                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.18%  postgres              [.] 0x00000000002280cd                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.18%  postgres              [.] 0x00000000005c1973                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.18%  postgres              [.] 0x00000000005c19d2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.09%  [kernel.kallsyms]     [k] __kmalloc_noprof                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.09%  [kernel.kallsyms]     [k] __raw_callee_save___pv_queued_spin_unlock                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.09%  [kernel.kallsyms]     [k] __x64_sys_lseek                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.09%  [kernel.kallsyms]     [k] _raw_spin_unlock_irq                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   -      -            
     0.09%  [kernel.kallsyms]     [k] cubictcp_acked                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         -      -            
     0.09%  [kernel.kallsyms]     [k] do_user_addr_fault                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.09%  [kernel.kallsyms]     [k] folio_mark_dirty                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.09%  [kernel.kallsyms]     [k] folio_unlock                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.09%  [kernel.kallsyms]     [k] generic_write_check_limits                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.09%  [kernel.kallsyms]     [k] handle_softirqs                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
