# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 743  of event 'cpu-clock'
# Event count (approx.): 3733667875
#
# Overhead  Shared Object         Symbol                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................................................................................................................................................................................................................................  ....................
#
     0.27%  pin.so                [.] <pin_core::mutable::page::Page>::owner_count                                                                                                                                                                                                                       -      -            
     0.27%  pin.so                [.] <pin_core::mutable::page::Page>::validate                                                                                                                                                                                                                          -      -            
     0.27%  pin.so                [.] <pin_core::normalize::Nfc>::emit::<pin_core::normalize::profile_text::{closure#3}>                                                                                                                                                                                 -      -            
     0.27%  pin.so                [.] __rustc::__rust_alloc                                                                                                                                                                                                                                              -      -            
     0.27%  pin.so                [.] __rustc::__rust_dealloc                                                                                                                                                                                                                                            -      -            
     0.27%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<*mut pgrx_pg_sys::include::pg18::varlena, pgrx_pg_sys::include::pg18::pg_detoast_datum_packed::{closure#0}>::{closure#0}>                                     -      -            
     0.27%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::call_from_c_to_rust::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<i32, pgrx_pg_sys::include::pg18::GetDatabaseEncoding::{closure#0}>::{closure#0}>                                                         -      -            
     0.27%  pin.so                [.] pin_core::codec::records::payload                                                                                                                                                                                                                                  -      -            
     0.27%  pin.so                [.] pin_core::mutable::grouped::scan::compile                                                                                                                                                                                                                          -      -            
     0.27%  pin.so                [.] pin_core::mutable::grouped::scan::delta::<pin::storage_impl::PgStore, pin::am::bitmap::bitmap_inner::{closure#0}::{closure#0}>                                                                                                                                     -      -            
     0.27%  pin.so                [.] pin_core::mutable::grouped::scan::scan_query::<pin::storage_impl::PgStore, pin::am::bitmap::bitmap_inner::{closure#0}::{closure#0}>                                                                                                                                -      -            
     0.27%  pin.so                [.] pin_storage_interrupt                                                                                                                                                                                                                                              -      -            
     0.27%  pin.so                [.] unicode_segmentation::word::has_alphanumeric                                                                                                                                                                                                                       -      -            
     0.27%  postgres              [.] ExecStoreBufferHeapTuple                                                                                                                                                                                                                                           -      -            
     0.27%  postgres              [.] ExecuteQuery                                                                                                                                                                                                                                                       -      -            
     0.27%  postgres              [.] LWLockRelease                                                                                                                                                                                                                                                      -      -            
     0.27%  postgres              [.] PredicateLockTID                                                                                                                                                                                                                                                   -      -            
     0.27%  postgres              [.] ReleaseBuffer                                                                                                                                                                                                                                                      -      -            
     0.27%  postgres              [.] pg_detoast_datum_packed                                                                                                                                                                                                                                            -      -            
     0.27%  postgres              [.] tbm_add_tuples                                                                                                                                                                                                                                                     -      -            
     0.27%  postgres              [.] 0x00000000001e3b2e                                                                                                                                                                                                                                                 -      -            
     0.13%  [kernel.kallsyms]     [k] check_stack_object                                                                                                                                                                                                                                                 -      -            
     0.13%  [kernel.kallsyms]     [k] sched_balance_update_blocked_averages                                                                                                                                                                                                                              -      -            
     0.13%  [kernel.kallsyms]     [k] sock_wfree                                                                                                                                                                                                                                                         -      -            
     0.13%  ld-linux-x86-64.so.2  [.] __tls_get_addr                                                                                                                                                                                                                                                     -      -            
     0.13%  libc.so.6             [.] __libc_malloc2                                                                                                                                                                                                                                                     -      -            
     0.13%  libc.so.6             [.] __memset_avx512_unaligned_erms                                                                                                                                                                                                                                     -      -            
     0.13%  libc.so.6             [.] __strlen_evex                                                                                                                                                                                                                                                      -      -            
     0.13%  pin.so                [.] <&[u8] as pgrx::callconv::ArgAbi>::unbox_arg_unchecked                                                                                                                                                                                                             -      -            
     0.13%  pin.so                [.] <&[u8] as pgrx::datum::from::FromDatum>::from_datum                                                                                                                                                                                                                -      -            
     0.13%  pin.so                [.] <pgrx::memcxt::PgMemoryContexts>::switch_to::<bool, pin::matching::matches_wrapper::_internal_wrapper::{closure#0}>                                                                                                                                                -      -            
     0.13%  pin.so                [.] <pin_core::mutable::page::Page>::group_entry                                                                                                                                                                                                                       -      -            
     0.13%  pin.so                [.] <pin_core::normalize::Nfc>::compose                                                                                                                                                                                                                                -      -            
