# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 654  of event 'cpu-clock'
# Event count (approx.): 3286431750
#
# Overhead  Shared Object         Symbol                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................................................................................................................................................................................................................................  ....................
#
     0.31%  [kernel.kallsyms]     [k] alloc_anon_folio                                                                                                                                                                                                                                                   -      -            
     0.31%  [kernel.kallsyms]     [k] free_unref_folios                                                                                                                                                                                                                                                  -      -            
     0.31%  [kernel.kallsyms]     [k] kernel_init_pages                                                                                                                                                                                                                                                  -      -            
     0.31%  libc.so.6             [.] __strlen_evex                                                                                                                                                                                                                                                      -      -            
     0.31%  libc.so.6             [.] llseek@GLIBC_2.2.5                                                                                                                                                                                                                                                 -      -            
     0.31%  pin.so                [.] <pin_core::grouped::bitmap::Bitmap>::open                                                                                                                                                                                                                          -      -            
     0.31%  pin.so                [.] <pin_core::mutable::page::Page>::check_next                                                                                                                                                                                                                        -      -            
     0.31%  postgres              [.] LWLockRelease                                                                                                                                                                                                                                                      -      -            
     0.31%  postgres              [.] tbm_begin_private_iterate                                                                                                                                                                                                                                          -      -            
     0.31%  postgres              [.] 0x00000000001e394f                                                                                                                                                                                                                                                 -      -            
     0.31%  postgres              [.] 0x00000000001e3ae0                                                                                                                                                                                                                                                 -      -            
     0.31%  postgres              [.] 0x00000000001e3ba5                                                                                                                                                                                                                                                 -      -            
     0.31%  postgres              [.] 0x00000000003ba460                                                                                                                                                                                                                                                 -      -            
     0.31%  postgres              [.] 0x00000000003baa5d                                                                                                                                                                                                                                                 -      -            
     0.31%  postgres              [.] 0x00000000003baab6                                                                                                                                                                                                                                                 -      -            
     0.31%  postgres              [.] 0x00000000003bb8a8                                                                                                                                                                                                                                                 -      -            
     0.31%  postgres              [.] 0x00000000003d6334                                                                                                                                                                                                                                                 -      -            
     0.31%  postgres              [.] 0x00000000003d7e37                                                                                                                                                                                                                                                 -      -            
     0.31%  postgres              [.] 0x00000000003d7e3b                                                                                                                                                                                                                                                 -      -            
     0.31%  postgres              [.] 0x000000000048e389                                                                                                                                                                                                                                                 -      -            
     0.31%  postgres              [.] 0x0000000000497ca0                                                                                                                                                                                                                                                 -      -            
     0.31%  postgres              [.] 0x0000000000497d07                                                                                                                                                                                                                                                 -      -            
     0.31%  postgres              [.] 0x000000000059b955                                                                                                                                                                                                                                                 -      -            
     0.31%  postgres              [.] 0x000000000059b9c8                                                                                                                                                                                                                                                 -      -            
     0.31%  postgres              [.] 0x000000000059ba8b                                                                                                                                                                                                                                                 -      -            
     0.15%  [kernel.kallsyms]     [k] __css_rstat_updated                                                                                                                                                                                                                                                -      -            
     0.15%  [kernel.kallsyms]     [k] __memcg_slab_free_hook                                                                                                                                                                                                                                             -      -            
     0.15%  [kernel.kallsyms]     [k] __x64_sys_epoll_wait                                                                                                                                                                                                                                               -      -            
     0.15%  [kernel.kallsyms]     [k] cap_mmap_addr                                                                                                                                                                                                                                                      -      -            
     0.15%  [kernel.kallsyms]     [k] folios_put_refs                                                                                                                                                                                                                                                    -      -            
     0.15%  [kernel.kallsyms]     [k] get_mem_cgroup_from_mm                                                                                                                                                                                                                                             -      -            
     0.15%  [kernel.kallsyms]     [k] handle_softirqs                                                                                                                                                                                                                                                    -      -            
     0.15%  [kernel.kallsyms]     [k] mas_preallocate                                                                                                                                                                                                                                                    -      -            
     0.15%  [kernel.kallsyms]     [k] mas_walk                                                                                                                                                                                                                                                           -      -            
     0.15%  [kernel.kallsyms]     [k] strnlen                                                                                                                                                                                                                                                            -      -            
     0.15%  [kernel.kallsyms]     [k] unmap_page_range                                                                                                                                                                                                                                                   -      -            
     0.15%  ld-linux-x86-64.so.2  [.] __tls_get_addr                                                                                                                                                                                                                                                     -      -            
     0.15%  libc.so.6             [.] __errno_location                                                                                                                                                                                                                                                   -      -            
     0.15%  libc.so.6             [.] __memcmp_evex_movbe                                                                                                                                                                                                                                                -      -            
     0.15%  libc.so.6             [.] _int_free_chunk                                                                                                                                                                                                                                                    -      -            
     0.15%  libc.so.6             [.] _int_free_merge_chunk                                                                                                                                                                                                                                              -      -            
     0.15%  pin.so                [.] <pin::storage_impl::PgStore as pin_core::mutable::PageStore>::blocks                                                                                                                                                                                               -      -            
     0.15%  pin.so                [.] <pin_core::grouped::bitmap::Bitmap>::payload_bytes                                                                                                                                                                                                                 -      -            
     0.15%  pin.so                [.] <pin_core::mutable::grouped::storage::Value>::read                                                                                                                                                                                                                 -      -            
     0.15%  pin.so                [.] <pin_core::mutable::page::Page>::bucket                                                                                                                                                                                                                            -      -            
     0.15%  pin.so                [.] <pin_core::mutable::page::Page>::terms                                                                                                                                                                                                                             -      -            
     0.15%  pin.so                [.] <pin_core::mutable::page::Terms as core::iter::traits::iterator::Iterator>::next                                                                                                                                                                                   -      -            
     0.15%  pin.so                [.] RecoveryInProgress@plt                                                                                                                                                                                                                                             -      -            
     0.15%  pin.so                [.] cee_scape::asm_based::call_with_sigsetjmp::call_from_c_to_rust::<pgrx_pg_sys::submodules::ffi::pg_guard_ffi_boundary_impl<(), pin::storage_impl::interrupt::{closure#0}>::{closure#0}>                                                                             -      -            
     0.15%  pin.so                [.] pin::storage_impl::interrupt                                                                                                                                                                                                                                       -      -            
     0.15%  pin.so                [.] pin_core::grouped::query::needed_terms                                                                                                                                                                                                                             -      -            
     0.15%  pin.so                [.] pin_core::memory::copy_text                                                                                                                                                                                                                                        -      -            
     0.15%  pin.so                [.] pin_core::mutable::grouped::scan::scan_query::<pin::storage_impl::PgStore, pin::am::bitmap::bitmap_inner::{closure#0}::{closure#0}>                                                                                                                                -      -            
     0.15%  pin.so                [.] pin_core::mutable::grouped::storage::lookup::<pin::storage_impl::PgStore>                                                                                                                                                                                          -      -            
     0.15%  pin.so                [.] pin_core::mutable::grouped::storage::read_bitmap::<pin::storage_impl::PgStore>                                                                                                                                                                                     -      -            
     0.15%  pin.so                [.] pin_kernels::grouped::offsets                                                                                                                                                                                                                                      -      -            
     0.15%  postgres              [.] AllocSetAlloc                                                                                                                                                                                                                                                      -      -            
     0.15%  postgres              [.] ExecuteQuery                                                                                                                                                                                                                                                       -      -            
     0.15%  postgres              [.] ExprEvalPushStep                                                                                                                                                                                                                                                   -      -            
     0.15%  postgres              [.] base_yyparse                                                                                                                                                                                                                                                       -      -            
     0.15%  postgres              [.] exprType                                                                                                                                                                                                                                                           -      -            
     0.15%  postgres              [.] int8inc                                                                                                                                                                                                                                                            -      -            
     0.15%  postgres              [.] mdnblocks                                                                                                                                                                                                                                                          -      -            
     0.15%  postgres              [.] 0x00000000001e35a0                                                                                                                                                                                                                                                 -      -            
