# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 717  of event 'cpu-clock'
# Event count (approx.): 3603014625
#
# Overhead  Shared Object      Symbol                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  .................  .....................................................................................................................................................................................................................................................................  ....................
#
     0.28%  pin.so             [.] __tls_get_addr@plt                                                                                                                                                                                                                                                 -      -            
     0.28%  pin.so             [.] pin_bitmap_add                                                                                                                                                                                                                                                     -      -            
     0.28%  pin.so             [.] pin_core::grouped::query::needed_terms                                                                                                                                                                                                                             -      -            
     0.28%  postgres           [.] ResourceOwnerEnlarge                                                                                                                                                                                                                                               -      -            
     0.28%  postgres           [.] heap_page_prune_opt                                                                                                                                                                                                                                                -      -            
     0.28%  postgres           [.] pgstat_count_io_op                                                                                                                                                                                                                                                 -      -            
     0.28%  postgres           [.] 0x00000000001e3b2e                                                                                                                                                                                                                                                 -      -            
     0.28%  postgres           [.] 0x00000000003baa52                                                                                                                                                                                                                                                 -      -            
     0.28%  postgres           [.] 0x00000000003baa63                                                                                                                                                                                                                                                 -      -            
     0.28%  postgres           [.] 0x00000000003bb8c9                                                                                                                                                                                                                                                 -      -            
     0.28%  postgres           [.] 0x00000000003d6323                                                                                                                                                                                                                                                 -      -            
     0.28%  postgres           [.] 0x00000000003d7e7e                                                                                                                                                                                                                                                 -      -            
     0.28%  postgres           [.] 0x00000000003e0270                                                                                                                                                                                                                                                 -      -            
     0.28%  postgres           [.] 0x00000000003e02e0                                                                                                                                                                                                                                                 -      -            
     0.28%  postgres           [.] 0x00000000003e0361                                                                                                                                                                                                                                                 -      -            
     0.28%  postgres           [.] 0x0000000000497c7c                                                                                                                                                                                                                                                 -      -            
     0.28%  postgres           [.] 0x0000000000497d0a                                                                                                                                                                                                                                                 -      -            
     0.28%  postgres           [.] 0x0000000000497d33                                                                                                                                                                                                                                                 -      -            
     0.28%  postgres           [.] 0x0000000000497dd0                                                                                                                                                                                                                                                 -      -            
     0.28%  postgres           [.] 0x0000000000497dd7                                                                                                                                                                                                                                                 -      -            
     0.28%  postgres           [.] 0x000000000059b920                                                                                                                                                                                                                                                 -      -            
     0.28%  postgres           [.] 0x000000000059b939                                                                                                                                                                                                                                                 -      -            
     0.28%  postgres           [.] 0x000000000059bb49                                                                                                                                                                                                                                                 -      -            
     0.28%  postgres           [.] 0x00000000005a15cc                                                                                                                                                                                                                                                 -      -            
     0.28%  postgres           [.] 0x00000000005a170b                                                                                                                                                                                                                                                 -      -            
     0.14%  [kernel.kallsyms]  [k] __do_sys_brk                                                                                                                                                                                                                                                       -      -            
     0.14%  [kernel.kallsyms]  [k] __get_unmapped_area                                                                                                                                                                                                                                                -      -            
     0.14%  [kernel.kallsyms]  [k] __kmalloc_node_track_caller_noprof                                                                                                                                                                                                                                 -      -            
