# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 750  of event 'cpu-clock'
# Event count (approx.): 3768843750
#
# Overhead  Shared Object      Symbol                                         IPC   [IPC Coverage]
# ........  .................  .............................................  ....................
#
     0.13%  [kernel.kallsyms]  [k] security_socket_getpeersec_dgram           -      -            
     0.13%  [kernel.kallsyms]  [k] shmem_file_llseek                          -      -            
     0.13%  [kernel.kallsyms]  [k] skb_set_owner_w                            -      -            
     0.13%  [kernel.kallsyms]  [k] unix_write_space                           -      -            
     0.13%  [vdso]             [.] 0x0000000000000f78                         -      -            
     0.13%  libc.so.6          [.] __errno_location                           -      -            
     0.13%  libc.so.6          [.] __memcmp_evex_movbe                        -      -            
     0.13%  libc.so.6          [.] __memset_avx512_unaligned_erms             -      -            
     0.13%  libc.so.6          [.] __sigsetjmp                                -      -            
     0.13%  libc.so.6          [.] _int_free_merge_chunk                      -      -            
     0.13%  libc.so.6          [.] send                                       -      -            
     0.13%  libc.so.6          [.] systrim.constprop.0                        -      -            
     0.13%  postgres           [.] AbortStrongLockAcquire                     -      -            
     0.13%  postgres           [.] AllocSetContextCreateInternal              -      -            
     0.13%  postgres           [.] AllocSetRealloc                            -      -            
     0.13%  postgres           [.] AtCommit_Notify                            -      -            
     0.13%  postgres           [.] AtEOXact_RelationMap                       -      -            
     0.13%  postgres           [.] CreateDestReceiver                         -      -            
     0.13%  postgres           [.] CreatePortal                               -      -            
     0.13%  postgres           [.] CreateTupleDescCopy                        -      -            
     0.13%  postgres           [.] ExecCheckPermissions                       -      -            
     0.13%  postgres           [.] ExecDoInitialPruning                       -      -            
     0.13%  postgres           [.] ExecIndexBuildScanKeys                     -      -            
     0.13%  postgres           [.] ExecReadyInterpretedExpr                   -      -            
     0.13%  postgres           [.] ExecStoreBufferHeapTuple                   -      -            
     0.13%  postgres           [.] FetchPortalTargetList                      -      -            
     0.13%  postgres           [.] FileSize                                   -      -            
     0.13%  postgres           [.] GenerationDelete                           -      -            
     0.13%  postgres           [.] GetSnapshotData                            -      -            
     0.13%  postgres           [.] HeapCheckForSerializableConflictOut        -      -            
     0.13%  postgres           [.] IsAbortedTransactionBlockState             -      -            
     0.13%  postgres           [.] LWLockAcquire                              -      -            
     0.13%  postgres           [.] LockReleaseAll                             -      -            
     0.13%  postgres           [.] MultiExecBitmapIndexScan                   -      -            
     0.13%  postgres           [.] PortalRun                                  -      -            
     0.13%  postgres           [.] PortalStart                                -      -            
     0.13%  postgres           [.] PostgresMain                               -      -            
     0.13%  postgres           [.] RelationIncrementReferenceCount            -      -            
     0.13%  postgres           [.] ResourceOwnerEnlarge                       -      -            
     0.13%  postgres           [.] ResourceOwnerForgetLock                    -      -            
     0.13%  postgres           [.] SIGetDataEntries                           -      -            
     0.13%  postgres           [.] SetCurrentStatementStartTimestamp          -      -            
     0.13%  postgres           [.] StartReadBuffers                           -      -            
     0.13%  postgres           [.] TupleDescInitEntry                         -      -            
     0.13%  postgres           [.] UnregisterSnapshotFromOwner                -      -            
     0.13%  postgres           [.] base_yyparse                               -      -            
     0.13%  postgres           [.] downcase_identifier                        -      -            
     0.13%  postgres           [.] gettimeofday@plt                           -      -            
     0.13%  postgres           [.] gin_cmp_tslexeme                           -      -            
     0.13%  postgres           [.] gin_tsquery_triconsistent                  -      -            
     0.13%  postgres           [.] index_getprocinfo                          -      -            
     0.13%  postgres           [.] initGinState                               -      -            
     0.13%  postgres           [.] int8inc                                    -      -            
     0.13%  postgres           [.] list_make1_impl                            -      -            
     0.13%  postgres           [.] malloc@plt                                 -      -            
     0.13%  postgres           [.] pgstat_get_transactional_drops             -      -            
     0.13%  postgres           [.] planstate_tree_walker_impl                 -      -            
     0.13%  postgres           [.] qsort_arg                                  -      -            
     0.13%  postgres           [.] read_stream_begin_relation                 -      -            
     0.13%  postgres           [.] read_stream_reset                          -      -            
     0.13%  postgres           [.] relation_open                              -      -            
     0.13%  postgres           [.] set_ps_display_with_len                    -      -            
     0.13%  postgres           [.] standard_ProcessUtility                    -      -            
     0.13%  postgres           [.] tbm_add_tuples                             -      -            
     0.13%  postgres           [.] 0x000000000018f228                         -      -            
     0.13%  postgres           [.] 0x0000000000198de0                         -      -            
     0.13%  postgres           [.] 0x000000000019b693                         -      -            
     0.13%  postgres           [.] 0x00000000001a779e                         -      -            
     0.13%  postgres           [.] 0x00000000001a7c43                         -      -            
     0.13%  postgres           [.] 0x00000000001a7c50                         -      -            
     0.13%  postgres           [.] 0x00000000001a7c5b                         -      -            
     0.13%  postgres           [.] 0x00000000001a7c67                         -      -            
     0.13%  postgres           [.] 0x00000000001a7c6a                         -      -            
     0.13%  postgres           [.] 0x00000000001a7c70                         -      -            
     0.13%  postgres           [.] 0x00000000001a7c80                         -      -            
     0.13%  postgres           [.] 0x00000000001acc60                         -      -            
     0.13%  postgres           [.] 0x00000000001acd0a                         -      -            
     0.13%  postgres           [.] 0x00000000001d7390                         -      -            
     0.13%  postgres           [.] 0x00000000001dbe40                         -      -            
     0.13%  postgres           [.] 0x00000000001fbb94                         -      -            
