# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 828  of event 'cpu-clock'
# Event count (approx.): 4160803500
#
# Overhead  Shared Object         Symbol                                                                                                                                                                                                                                                                 IPC   [IPC Coverage]
# ........  ....................  .....................................................................................................................................................................................................................................................................  ....................
#
     0.24%  pin.so                [.] <pin_core::grouped::bitmap::Bitmap>::span                                                                                                                                                                                                                          -      -            
     0.24%  pin.so                [.] <pin_core::mutable::page::Page>::group_entry                                                                                                                                                                                                                       -      -            
     0.24%  pin.so                [.] <pin_core::mutable::page::Page>::owner_count                                                                                                                                                                                                                       -      -            
     0.24%  pin.so                [.] pin_core::memory::reserve::<u8>                                                                                                                                                                                                                                    -      -            
     0.24%  pin.so                [.] pin_kernels::grouped::offsets                                                                                                                                                                                                                                      -      -            
     0.24%  pin.so                [.] pin_storage_interrupt                                                                                                                                                                                                                                              -      -            
     0.24%  postgres              [.] CreatePortal                                                                                                                                                                                                                                                       -      -            
     0.24%  postgres              [.] FileSize                                                                                                                                                                                                                                                           -      -            
     0.24%  postgres              [.] LWLockAcquire                                                                                                                                                                                                                                                      -      -            
     0.24%  postgres              [.] RelationGetNumberOfBlocksInFork                                                                                                                                                                                                                                    -      -            
     0.24%  postgres              [.] copyObjectImpl                                                                                                                                                                                                                                                     -      -            
     0.24%  postgres              [.] core_yylex                                                                                                                                                                                                                                                         -      -            
     0.24%  postgres              [.] smgrnblocks                                                                                                                                                                                                                                                        -      -            
     0.24%  postgres              [.] tbm_private_iterate                                                                                                                                                                                                                                                -      -            
     0.24%  postgres              [.] 0x000000000059c947                                                                                                                                                                                                                                                 -      -            
     0.24%  postgres              [.] 0x00000000005c737a                                                                                                                                                                                                                                                 -      -            
     0.24%  postgres              [.] 0x0000000000754a90                                                                                                                                                                                                                                                 -      -            
     0.12%  [kernel.kallsyms]     [k] __alloc_skb                                                                                                                                                                                                                                                        -      -            
     0.12%  [kernel.kallsyms]     [k] __check_object_size                                                                                                                                                                                                                                                -      -            
     0.12%  [kernel.kallsyms]     [k] __skb_datagram_iter                                                                                                                                                                                                                                                -      -            
